Nombre,Longitud,Latitud,Estado,Municipio,Parroquia,Direccion,Telefono,Correo_electronico
Farmapatria,-66.933774,10.506025,Distrito Capital,Libertador,23 de Enero,"“calle Cristo Rey, Caracas 1030, Distrito Capital”",08007258392,soporte@farmapatria.com.ve
Farmapatria,-66.906861,10.511990,Distrito Capital,Libertador,Catedral,"“Hyper PDVAL San José, Avenida Norte 9, Caracas, Distrito Capital”",08007258392,soporte@farmapatria.com.ve
Farmapatria,-66.943536,10.509276,Distrito Capital,Libertador,Sucre,"“Calle Bella Vista, Caracas 1030, Distrito Capital”",08007258392,soporte@farmapatria.com.ve
Farmapatria,-66.871359,10.491660,Distrito Capital,Libertador,El Recreo,"“Bulevar de Sabana Grande, Caracas 1050, Distrito Capital”",04122064142,soporte@farmapatria.com.ve
Farmapatria,-66.828211,10.493255,Miranda,Sucre,Leoncio Martínez,"“VTV, Calle La Venezolana, Caracas 1071, Distrito Capital”",08007258392,soporte@farmapatria.com.ve
Farmapatria,-66.810082,10.477981,Miranda,Sucre,Petare,"“Hospital Pérez de León (II), Calle Tunita, Caracas, Distrito Metropolitano de Caracas”",04269540714,soporte@farmapatria.com.ve
FarmaPatria,-66.926751,10.441535,Distrito Capital,Libertador,Sucre,"“Calle Zea, frente al hospital periférico de, Caracas 1090, Distrito Capital”",08007258392,soporte@farmapatria.com.ve
Depósito De Farmapatria.,-66.913291,10.510672,Distrito Capital,Libertador,Catedral,"“Avenida Norte, Caracas 1010, Distrito Capital”",08007258392,soporte@farmapatria.com.ve
Farmapatria,-66.901807,10.498843,Distrito Capital,Libertador,San Agustín,"“Parque Central, Caracas 1015, Distrito Capital”",08007258392,soporte@farmapatria.com.ve
FarmaPatria El Atlántico,-66.948851,10.503868,Distrito Capital,Libertador,Sucre,"“Caracas 1030, Distrito Capital”",08007258392,soporte@farmapatria.com.ve
FarmaPatria Miraflores,-66.918485,10.508972,Distrito Capital,Libertador,Catedral,"“Caracas 1010, Distrito Capital”",08007258392,soporte@farmapatria.com.ve
